gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,36,Churn
Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,Remain
,No relevent experience,Full time course,Graduate,STEM,5,,,never,83,Remain
,No relevent experience,,Graduate,Business Degree,<1,,Pvt Ltd,never,52,Churn
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,Remain
,Has relevent experience,Part time course,Graduate,STEM,11,,,1,24,Churn
Male,Has relevent experience,no_enrollment,High School,,5,50-99,Funded Startup,1,24,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,Churn
,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,Remain
,No relevent experience,Full time course,High School,,2,,,never,32,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,Remain
Male,No relevent experience,,,,2,,,never,24,Remain
,No relevent experience,Full time course,High School,,5,,,never,26,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,>4,18,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,Churn
Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,132,Churn
Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,Remain
,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,48,Remain
Male,Has relevent experience,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,Remain
,No relevent experience,no_enrollment,High School,,4,,,never,22,Remain
,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,Churn
Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,,2,72,Remain
Male,Has relevent experience,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,Remain
